Date;Amount of food thrown out(in kg);Amount of food bought (in kg);Money invested to buy products (in zl);Kindergarten_ID
2019-12-25;127;307;7368;17;
2020-10-30;63;913;23738;3;
2019-11-05;260;288;10368;20;
2019-09-01;959;986;29580;2;
2020-11-03;964;988;25688;7;
2020-01-06;165;947;28410;12;
2020-01-01;422;562;6744;12;
2020-10-25;71;264;8976;7;
2019-06-05;302;410;5740;6;
2020-08-09;82;291;5238;1;
2019-07-26;671;963;22149;15;
2019-12-20;205;445;7120;8;
2020-04-30;302;407;15873;2;
2020-03-15;198;555;14430;2;
2020-08-25;807;814;13024;16;
2020-05-02;698;726;23958;5;
2020-12-25;394;582;22698;16;
2019-04-08;192;891;32076;4;
2019-06-30;122;821;21346;12;
2020-03-31;444;479;10538;11;
2019-01-06;427;754;21866;1;
2019-09-28;709;798;15162;17;
2019-11-27;3;359;13642;17;
2020-11-26;161;638;15312;11;
2020-09-22;401;979;38181;11;
2020-10-24;343;717;23661;19;
2019-09-23;475;693;24255;15;
2019-07-13;213;644;21896;9;
2019-12-26;40;918;16524;8;
2020-04-08;300;426;9798;5;
2020-06-09;457;820;25420;18;
2020-06-15;399;412;12772;19;
2020-11-25;834;948;35076;5;
2019-08-17;513;941;14115;19;
2020-12-17;539;816;29376;10;
2020-08-13;242;305;10980;11;
2020-11-27;491;761;25874;15;
2019-12-19;423;630;20790;13;
2019-10-18;225;473;12298;10;
2019-07-02;687;936;15912;20;
2019-02-15;211;274;10686;17;
2020-09-09;341;347;4858;20;
2020-10-02;363;511;13286;18;
2020-07-11;271;514;12336;6;
2019-01-01;801;868;19096;20;
2020-03-11;154;304;5776;1;
2019-05-10;351;807;31473;1;
2020-03-01;421;744;8184;13;
2020-09-21;591;829;12435;18;
2020-01-22;222;964;38560;15;
2019-02-12;96;712;11392;15;
2020-11-26;351;505;10605;6;
2020-01-04;374;618;22248;12;
2019-10-01;12;313;8451;17;
2020-03-12;235;260;7800;15;
2020-08-20;161;973;29190;14;
2020-10-25;152;559;18447;5;
2020-09-05;292;740;22940;18;
2019-06-23;461;699;20271;6;
2020-06-03;327;681;7491;13;
2020-11-23;103;479;17244;12;
2020-02-03;363;737;17688;12;
2019-10-27;511;633;22788;15;
2020-05-04;195;373;12682;4;
2020-09-13;270;880;16720;1;
2020-06-14;477;964;18316;5;
2020-12-08;337;703;23902;18;
2019-11-28;461;588;12936;8;
2019-12-08;178;956;22944;17;
2020-07-04;202;370;14800;5;
2019-06-07;190;757;9084;9;
2019-04-10;117;509;17306;9;
2019-08-13;168;266;7182;13;
2019-02-20;13;768;29184;2;
2019-11-12;248;275;5775;5;
2020-11-04;375;484;17424;3;
2020-01-23;626;786;29082;20;
2020-03-22;258;454;9988;14;
2020-04-03;70;661;25118;10;
2020-11-07;450;979;29370;8;
2019-03-18;177;322;4508;10;
2019-01-20;720;725;7250;1;
2019-05-18;169;472;5664;19;
2020-10-28;79;274;4110;8;
2019-03-29;340;481;18759;1;
2020-11-23;302;551;7714;5;
2019-02-11;442;905;28960;7;
2019-05-24;644;950;27550;16;
2019-05-08;174;486;5346;11;
2019-04-10;299;444;15984;12;
2020-02-15;427;603;6030;19;
2020-02-05;353;853;32414;4;
2020-08-15;200;293;5860;2;
2020-04-28;547;707;12726;13;
2019-04-17;664;668;26720;13;
2020-12-17;409;906;23556;5;
2020-05-03;41;275;11000;7;
2020-08-26;254;360;5040;15;
2020-05-29;559;749;12733;2;
2020-07-12;45;874;27094;16;
2020-07-11;73;292;4964;20;
